Date,Flume,Sampling_Period,NCC,NCP
2018-05-09,1,D,1.67009816714319,41.48922497
2018-05-09,2,D,3.45759981518619,49.654559
2018-05-09,1,A,-3.449566418664,-5.9236701
2018-05-09,2,A,2.66628767552815,-16.20956189
2018-05-09,1,N,0.05472034536813,-7.271864738
2018-05-09,2,N,0.06344794903615,-10.35253828
2018-05-10,1,M,7.21628151332759,31.64081714
2018-05-10,2,M,8.47747310387189,42.15469157
2018-05-10,1,D,3.74221687740071,29.51058697
2018-05-10,2,D,5.73547143965381,38.79343974
2018-05-10,1,A,0.92571395137757,-30.21635936
2018-05-10,2,A,4.34380072533133,-29.75663065
2018-05-10,1,N,-0.96299421249762,-7.78891641
2018-05-10,2,N,-0.01854505363895,-10.99901024
2018-05-11,1,M,4.77534905007387,39.6057125
2018-05-11,2,M,6.8164288867962,55.33686512
2018-05-11,1,D,2.42156453404443,32.303393
2018-05-11,2,D,7.02563187046155,45.3005844
2018-05-11,1,A,1.28609588262215,-20.59354375
2018-05-11,2,A,6.56693821841334,-4.222138424
2018-05-11,1,N,-0.06422074255712,-5.842459631
2018-05-11,2,N,0.71942793850564,-8.40424032
2018-05-12,1,M,5.58582659738013,36.51096709
2018-05-12,2,M,4.06956070121577,52.67681388
